"id", "title", "author", "category", "grade", "publisher", "edition", "price"
"4741","MATEMATIKA 4 - 2. DIO : udžbenik i zbirka zadataka za 4. razred tehničkih škola","Branimir Dakić, Neven Elezović","udžbenik sa zbirkom zadataka","4.","ELEMENT","Novo","98"
"4745","MATEMATIKA 4 : udžbenik i zbirka zadataka za 4. razred ekonomskih škola","Branimir Dakić, Neven Elezović, Sonja Banić","udžbenik sa zbirkom zadataka","4.","ELEMENT","Novo","126"
"5110","MATEMATIKA 4 : udžbenik i zbirka zadataka iz matematike za četvrti razred gimnazije i tehničke škole, 1. polugodište","Zvonimir Šikić, Milena Ćulav Markičević, Petar Vranjković","udžbenik sa zbirkom zadataka","4.","PROFIL","Novo","72"
"5111","MATEMATIKA 4 : udžbenik i zbirka zadataka iz matematike za četvrti razred gimnazije i tehničke škole, 2. polugodište","Zvonimir Šikić, Milena Ćulav Markičević, Petar Vranjković","udžbenik sa zbirkom zadataka","4.","PROFIL","Novo","72"
"5402","MATEMATIKA 4 : udžbenik sa zbirkom zadataka za 4. razred srednje škole za zanimanje komercijalist/komercijalistica - 1. dio","Kristina Šorić","udžbenik sa zbirkom zadataka","4.","ŠK","Novo","82"
"5403","MATEMATIKA 4 : udžbenik sa zbirkom zadataka za 4. razred srednje škole za zanimanje komercijalist/komercijalistica - 2. dio","Kristina Šorić","udžbenik sa zbirkom zadataka","4.","ŠK","Novo","82"
"1566","MATEMATIKA U STRUCI 1 : udžbenik sa zbirkom zadataka za 1. razred trogodišnjih strukovnih škola","Đurđica Salamon, Boško Šego","udžbenik sa zbirkom zadataka","1.","ALKA","","105"
"1576","MATEMATIKA 1 : udžbenik sa zbirkom zadataka za prvi razred trgovačke škole","Đurđica Salamon, Boško Šego","udžbenik sa zbirkom zadataka","1.","ALKA","","105"
"1568","MATEMATIKA 1 : udžbenik i zbirka zadataka za 1. razred trogodišnjih strukovnih škola","Sanja Varošanec","udžbenik i zbirka zadataka","1.","ELEMENT","","111"
"1580","GOSPODARSKA MATEMATIKA 1 : udžbenik i zbirka zadataka za 1. razred srednje ugostiteljske škole","Vesna Erceg","udžbenik i zbirka zadataka","1.","HOREBA","","90"
"1578","MATEMATIKA 2 : udžbenik sa zbirkom zadataka za drugi razred trgovačke škole","Đurđica Salamon, Boško Šego","udžbenik sa zbirkom zadataka","2.","ALKA","","105"
"1570","MATEMATIKA U STRUCI 2 : udžbenik sa zbirkom zadataka za drugi razred trogodišnjih strukovnih škola","Đurđica Salamon, Boško Šego","udžbenik sa zbirkom zadataka","2.","ALKA","","105"
"1572","MATEMATIKA 2 : udžbenik i zbirka zadataka za 2. razred trogodišnjih strukovnih škola","Sanja Varošanec","udžbenik i zbirka zadataka","2.","ELEMENT","","111"
"1581","GOSPODARSKA MATEMATIKA 2 : udžbenik i zbirka zadataka za 2. razred srednje ugostiteljske škole","Vesna Erceg","udžbenik i zbirka zadataka","2.","HOREBA","","85"
"2164","MATEMATIKA U STRUCI 3 : udžbenik sa zbirkom zadataka za 3. razred trogodišnje strukovne škole iz područja graditeljstva - JMO","Đurđica Salamon, Boško Šego","udžbenik sa zbirkom zadataka","3.","ALKA","","95"
"1579","MATEMATIKA 3 : udžbenik sa zbirkom zadataka za treći razred trgovačke škole","Đurđica Salamon, Boško Šego","udžbenik sa zbirkom zadataka","3.","ALKA","","105"
"2165","MATEMATIKA U STRUCI 3 : udžbenik sa zbirkom zadataka za 3. razred trogodišnje strukovne škole iz područja strojarstva - JMO","Vladimir Matijević, Đurđica Salamon, Boško Šego","udžbenik sa zbirkom zadataka","3.","ALKA","","95"
"2166","MATEMATIKA U STRUCI 3 : udžbenik sa zbirkom zadataka za 3. razred trogodišnje strukovne škole iz područja ugostiteljstva - JMO","Đurđica Salamon, Tkoma Rićso, Boško Šego","udžbenik sa zbirkom zadataka","3.","ALKA","","95"
"2167","MATEMATIKA U STRUCI 3 : udžbenik sa zbirkom zadataka za 3. razred trogodišnje strukovne škole iz područja uslužnih djelatnosti - JMO","Đurđica Salamon, Boško Šego","udžbenik sa zbirkom zadataka","3.","ALKA","","95"
"1574","MATEMATIKA 3 : udžbenik i zbirka zadataka za 3. razred industrijskih i obrtničkih škola","Ivica Gusić, Jelena Gusić","udžbenik i zbirka zadataka","3.","BIROTEHNIKA","","67.5"
